"filename", "language", "GDScript", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\details.md", "Markdown", 0, 19, 0, 0, 0, 6, 25
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 6, 15
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff.csv", "CSV", 0, 0, 2, 0, 0, 0, 2
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.csv", "CSV", 0, 0, 12, 0, 0, 0, 12
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.md", "Markdown", 0, 17, 0, 0, 0, 7, 24
"e:\Dev\Godot\佛祖放置\Script\Game\OnClick.gd", "GDScript", 1, 0, 0, 0, 0, 1, 2
"e:\Dev\Godot\佛祖放置\Script\Game\main.gd", "GDScript", 84, 0, 0, 0, 0, 19, 103
"e:\Dev\Godot\佛祖放置\Script\Global\Bignumber.gd", "GDScript", 398, 0, 0, 0, 34, 100, 532
"e:\Dev\Godot\佛祖放置\Script\Global\Global.gd", "GDScript", 82, 0, 0, 0, 22, 25, 129
"e:\Dev\Godot\佛祖放置\Script\Global\ItemClass.gd", "GDScript", 49, 0, 0, 0, 0, 12, 61
"e:\Dev\Godot\佛祖放置\Script\Global\SaveAndLoad.gd", "GDScript", 18, 0, 0, 0, 1, 7, 26
"e:\Dev\Godot\佛祖放置\Script\Global\SkillClass.gd", "GDScript", 26, 0, 0, 0, 1, 6, 33
"e:\Dev\Godot\佛祖放置\Script\Global\Static.gd", "GDScript", 1, 0, 0, 0, 0, 3, 4
"e:\Dev\Godot\佛祖放置\Script\Store.gd", "GDScript", 6, 0, 0, 0, 0, 4, 10
"e:\Dev\Godot\佛祖放置\Script\UI\Chart.gd", "GDScript", 11, 0, 0, 0, 0, 5, 16
"e:\Dev\Godot\佛祖放置\Script\UI\Popup.gd", "GDScript", 13, 0, 0, 0, 0, 5, 18
"e:\Dev\Godot\佛祖放置\Script\UI\Skill.gd", "GDScript", 23, 0, 0, 0, 0, 6, 29
"e:\Dev\Godot\佛祖放置\Script\UI\TipText.gd", "GDScript", 5, 0, 0, 0, 0, 2, 7
"e:\Dev\Godot\佛祖放置\Script\UI\item.gd", "GDScript", 29, 0, 0, 0, 0, 10, 39
"e:\Dev\Godot\佛祖放置\Script\UI\ui.gd", "GDScript", 33, 0, 0, 0, 0, 15, 48
"e:\Dev\Godot\佛祖放置\Script\test.gd", "GDScript", 35, 0, 0, 0, 0, 9, 44
"Total", "-", 814, 57, 14, 1, 58, 255, 1199
