"filename", "language", "GDScript", "Markdown", "JSON", "CSV", "GDResource", "Properties", "comment", "blank", "total"
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\details.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 6, 25
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 6, 15
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff.csv", "CSV", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 7, 19
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.csv", "CSV", 0, 0, 0, 12, 0, 0, 0, 0, 12
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 7, 24
"e:\Dev\Godot\佛祖放置\Script\Game\OnClick.gd", "GDScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\Godot\佛祖放置\Script\Game\main.gd", "GDScript", 84, 0, 0, 0, 0, 0, 0, 19, 103
"e:\Dev\Godot\佛祖放置\Script\Global\Bignumber.gd", "GDScript", 398, 0, 0, 0, 0, 0, 34, 100, 532
"e:\Dev\Godot\佛祖放置\Script\Global\Global.gd", "GDScript", 82, 0, 0, 0, 0, 0, 22, 25, 129
"e:\Dev\Godot\佛祖放置\Script\Global\ItemClass.gd", "GDScript", 49, 0, 0, 0, 0, 0, 0, 12, 61
"e:\Dev\Godot\佛祖放置\Script\Global\SaveAndLoad.gd", "GDScript", 18, 0, 0, 0, 0, 0, 1, 7, 26
"e:\Dev\Godot\佛祖放置\Script\Global\SkillClass.gd", "GDScript", 26, 0, 0, 0, 0, 0, 1, 6, 33
"e:\Dev\Godot\佛祖放置\Script\Global\Static.gd", "GDScript", 1, 0, 0, 0, 0, 0, 0, 3, 4
"e:\Dev\Godot\佛祖放置\Script\Store.gd", "GDScript", 6, 0, 0, 0, 0, 0, 0, 4, 10
"e:\Dev\Godot\佛祖放置\Script\UI\Chart.gd", "GDScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"e:\Dev\Godot\佛祖放置\Script\UI\Popup.gd", "GDScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"e:\Dev\Godot\佛祖放置\Script\UI\Skill.gd", "GDScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"e:\Dev\Godot\佛祖放置\Script\UI\TipText.gd", "GDScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Dev\Godot\佛祖放置\Script\UI\item.gd", "GDScript", 29, 0, 0, 0, 0, 0, 0, 10, 39
"e:\Dev\Godot\佛祖放置\Script\UI\ui.gd", "GDScript", 33, 0, 0, 0, 0, 0, 0, 15, 48
"e:\Dev\Godot\佛祖放置\Script\test.gd", "GDScript", 35, 0, 0, 0, 0, 0, 0, 9, 44
"e:\Dev\Godot\佛祖放置\addons\apprentice\config\auto_load_config.gd", "GDScript", -13, 0, 0, 0, 0, 0, -9, -6, -28
"e:\Dev\Godot\佛祖放置\addons\apprentice\config\config.gd", "GDScript", -5, 0, 0, 0, 0, 0, -8, -4, -17
"e:\Dev\Godot\佛祖放置\addons\apprentice\config\example_config.gd", "GDScript", -3, 0, 0, 0, 0, 0, -12, -8, -23
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\animation_canvas.gd", "GDScript", -156, 0, 0, 0, 0, 0, -30, -69, -255
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\README.md", "Markdown", 0, -65, 0, 0, 0, 0, 0, -11, -76
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\_document.gd", "GDScript", -83, 0, 0, 0, 0, 0, -39, -30, -152
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\analysis.gd", "GDScript", -56, 0, 0, 0, 0, 0, -23, -30, -109
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\data\data_class.gd", "GDScript", -4, 0, 0, 0, 0, 0, -5, -4, -13
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\data\objects.gd", "GDScript", -68, 0, 0, 0, 0, 0, -16, -23, -107
