"filename", "language", "GDScript", "comment", "blank", "total"
"e:\Dev\Godot\佛祖放置\Script\Game\main.gd", "GDScript", 94, 0, 19, 113
"e:\Dev\Godot\佛祖放置\Script\Global\Global.gd", "GDScript", 69, 22, 23, 114
"e:\Dev\Godot\佛祖放置\Script\Global\ItemClass.gd", "GDScript", 43, 1, 13, 57
"e:\Dev\Godot\佛祖放置\Script\Global\SaveAndLoad.gd", "GDScript", 18, 3, 7, 28
"e:\Dev\Godot\佛祖放置\Script\Global\SkillClass.gd", "GDScript", 19, 1, 5, 25
"e:\Dev\Godot\佛祖放置\Script\UI\Popup.gd", "GDScript", 13, 0, 5, 18
"e:\Dev\Godot\佛祖放置\Script\UI\Skill.gd", "GDScript", 23, 0, 6, 29
"e:\Dev\Godot\佛祖放置\Script\UI\TipText.gd", "GDScript", 5, 0, 2, 7
"e:\Dev\Godot\佛祖放置\Script\UI\item.gd", "GDScript", 28, 0, 10, 38
"e:\Dev\Godot\佛祖放置\Script\UI\ui.gd", "GDScript", 45, 0, 13, 58
"Total", "-", 357, 27, 103, 487
